Name,Ticker,Earth Pillar,Twitter handle,Twitter Id
IRON MOUNTAIN,IRM,42.86%,IronMountain,21429357
INGERSOLL RAND,IR,41.57%,IRProducts,84102765
ILLINOIS TOOL WORKS,ITW,50.76%,ITWInc,101844704
JACK HENRY & ASSOCIATES,JKHY,0.00%,JackHenryAssoc,632295860
JACOBS ENGINEERING GROUP,J,61.21%,JacobsConnects,14245324
J B HUNT TRANSPORT SERVICES,JBHT,21.94%,jbhunt360,2528862373
J M SMUCKER CO,SJM,48.04%,JMSmuckerCo,1.2708E+18
JOHNSON & JOHNSON,JNJ,68.65%,JNJNews,20457806
DEERE & CO,DE,61.56%,johndeere,18726666
JOHNSON CONTROLS INTERNATIONAL PLC,JCI,52.65%,JohnsonControls,1280469980
JPMORGAN CHASE & CO,JPM,75.72%,JPMorgan,1155522630
JUNIPER NETWORKS,JNPR,43.82%,JuniperNetworks,14775374
KIMBERLY-CLARK CORP,KMB,55.07%,KCCorp,151233724
KELLOGG CO,K,52.02%,KelloggCompany,454213077
KEYCORP,KEY,51.86%,KeyBank,488904431
KEYSIGHT TECHNOLOGIES,KEYS,55.35%,Keysight,2155032368
KIMCO REALTY CORP,KIM,44.97%,KimcoRealty,122393786
KINDER MORGAN,KMI,29.54%,Kinder_Morgan,103085208
KLA CORP,KLAC,56.01%,KLACorp,297676668
KRAFT HEINZ CO,KHC,39.83%,KraftHeinzCo,114816952
KROGER CO,KR,50.24%,Kroger,36359791
L3HARRIS TECHNOLOGIES,LHX,47.56%,L3HarrisTech,87228706
LABORATORY CORPORATION OF AMERICA HOLDINGS,LH,25.38%,LabCorp,57214964
LAMB WESTON HOLDINGS,LW,57.34%,LambWeston,2209322293
LAM RESEARCH CORP,LRCX,69.02%,lamresearch,16686919
LAS VEGAS SANDS CORP,LVS,46.02%,LasVegasSands,278895111
LEIDOS HOLDINGS,LDOS,68.20%,LeidosInc,247365368
ELI LILLY AND CO,LLY,58.85%,LillyPad,172496840
LINCOLN NATIONAL CORP,LNC,68.06%,lincolnfingroup,48580514
LINDE PLC,LIN,36.18%,LindePLC,29173469
LIVE NATION ENTERTAINMENT,LYV,3.28%,LiveNation,9629222
LKQ CORP,LKQ,46.18%,LKQCorp,165771313
LOCKHEED MARTIN CORP,LMT,59.22%,lockheedmartin,42871498
LOEWS CORP,L,3.02%,Loews_Hotels,29271362
LOWE'S COMPANIES,LOW,51.85%,lowes,19336500
LUMEN TECHNOLOGIES,LUMN,28.90%,LumenTechCo,1.26347E+18
LYONDELLBASELL INDUSTRIES NV,LYB,32.22%,LyondellBasell,135221263
MID-AMERICA APARTMENT COMMUNITIES,MAA,36.52%,MAACommunities,267247258
M&T BANK CORP,MTB,56.07%,mandt_bank,82382893
MARATHON OIL CORP,MRO,32.11%,MarathonOil,15766628
MARATHON PETROLEUM CORP,MPC,34.28%,MarathonPetroCo,320962473
MARKETAXESS HOLDINGS,MKTX,2.28%,MarketAxess,351146171
MARRIOTT INTERNATIONAL,MAR,37.29%,MarriottIntl,14140913
MARTIN MARIETTA MATERIALS,MLM,15.56%,MartinMarietta,180912714
MASCO CORP,MAS,48.83%,MascoCareers,
MASTERCARD,MA,69.90%,Mastercard,75014376
MATCH GROUP,MTCH,0.00%,Match,19013415
MCCORMICK & COMPANY,MKC,57.14%,McCormickCorp,3031338755
MCDONALD'S CORP,MCD,54.08%,mcdonalds,71026122
MCKESSON CORP,MCK,45.21%,McKesson,148872151
MONDELEZ INTERNATIONAL,MDLZ,54.40%,MDLZ,2215976798
MEDTRONIC PLC,MDT,56.17%,Medtronic,52846066
MERCK & CO,MRK,65.66%,merck,35961145
META PLATFORMS,FB,59.08%,Meta,2425151
METLIFE,MET,68.86%,metlife,78661839
METTLER-TOLEDO INTERNATIONAL,MTD,60.96%,MettlerToledo,532952294
