Name,Ticker,Earth Pillar,Twitter handle,Twitter Id
SOLAREDGE TECHNOLOGIES,SEDG,52.30%,SolarEdgePV,45171924
SOUTHERN CO,SO,30.12%,southerncompany,15864671
SOUTHWEST AIRLINES CO,LUV,32.96%,SouthwestAir,7212562
S&P GLOBAL,SPGI,68.35%,SPGlobal,110522065
STANLEY BLACK & DECKER,SWK,65.07%,StanleyBlkDeckr,117789943
STARBUCKS CORP,SBUX,59.51%,starbucks,30973
STATE STREET CORP,STT,79.09%,StateStreet,331877987
STERIS PLC,STE,4.52%,Steris,223830012
STRYKER CORP,SYK,53.01%,Stryker_ST,286291988
SVB FINANCIAL GROUP,SIVB,31.20%,SVB_Financial,17396865
SYNCHRONY FINANCIAL,SYF,55.82%,synchrony,16366375
SYNOPSYS,SNPS,4.02%,Synopsys,17427993
SYSCO CORP,SYY,54.53%,Sysco,823523768
TARGET CORP,TGT,55.92%,Target,89084561
TE CONNECTIVITY LTD,TEL,57.74%,TEConnectivity,29162590
TELEFLEX,TFX,4.82%,TeleflexInc,26736411
TERADYNE,TER,57.01%,teradyneinc,48026449
TESLA,TSLA,23.12%,Tesla,13298072
TEXTRON,TXT,51.42%,textron,1491310134
AES CORP,AES,22.50%,TheAESCorp,2541746143
HARTFORD FINANCIAL SERVICES GROUP,HIG,82.42%,TheHartford,19614674
PRINCIPAL FINANCIAL GROUP,PFG,36.78%,ThePrincipal,
THERMO FISHER SCIENTIFIC,TMO,33.15%,ThermoFisher,62862144
UDR,UDR,30.64%,TheTeamUDR,1.16243E+18
TJX COMPANIES,TJX,52.13%,TJMaxx,9541782
T-MOBILE US,TMUS,54.92%,TMobile,17338082
TRACTOR SUPPLY CO,TSCO,49.77%,TractorSupply,741195889
TRANE TECHNOLOGIES PLC,TT,63.23%,Trane_Tech,18988151
TRAVELERS COMPANIES,TRV,33.33%,Travelers,17640219
TRIMBLE,TRMB,49.65%,TrimbleCorpNews,1499430715
T ROWE PRICE GROUP,TROW,42.02%,TRowePrice,18639872
TRUIST FINANCIAL CORP,TFC,48.40%,TruistNews,1.13847E+18
TWITTER,TWTR,3.02%,Twitter,783214
TEXAS INSTRUMENTS,TXN,58.31%,txinstruments,13613292
TYLER TECHNOLOGIES,TYL,3.92%,TylerTech,74166588
TYSON FOODS,TSN,48.29%,TysonFoods,15836048
UNIVERSAL HEALTH SERVICES,UHS,2.02%,uhs_inc,263806268
ULTA BEAUTY,ULTA,5.96%,UltaBeauty,28134825
UNDER ARMOUR,UAA,7.84%,UnderArmour,23114836
UNION PACIFIC CORP,UNP,34.75%,UnionPacific,17629628
UNITED AIRLINES HOLDINGS,UAL,31.35%,United,260907612
UNITED RENTALS,URI,42.14%,United_Rentals,1.10548E+18
UNITEDHEALTH GROUP,UNH,72.57%,UnitedHealthGrp,917104380
UNITED PARCEL SERVICE,UPS,47.91%,UPS,158129535
US BANCORP,USB,8.64%,USBank,15577098
VALERO ENERGY CORP,VLO,30.28%,ValeroEnergy,8.46806E+17
VENTAS,VTR,42.12%,VentasREIT,9.10241E+17
VERISIGN,VRSN,6.51%,Verisign,19775248
VERISK ANALYTICS,VRSK,4.92%,Verisk,25161572
VERIZON COMMUNICATIONS,VZ,52.18%,Verizon,59889953
VERTEX PHARMACEUTICALS,VRTX,37.52%,VertexPharma,17542775
VF CORP,VFC,65.83%,VFCorp,3201751330
VIATRIS,VTRS,52.64%,ViatrisInc,1.19408E+18
VISA,V,63.61%,Visa,551373363
WALMART,WMT,32.85%,walmart,17137891
WASTE MANAGEMENT,WM,43.54%,WasteManagement,17634248
WATERS CORP,WAT,56.76%,WatersCorp,56758053
WALGREENS BOOTS ALLIANCE,WBA,53.36%,WBA_Global,1.23203E+18
HUNTINGTON INGALLS INDUSTRIES,HII,0.14%,WeAreHII,247416314
OCCIDENTAL PETROLEUM CORP,OXY,35.03%,WeAreOxy,42641711
WEC ENERGY GROUP,WEC,32.97%,WECEnergyGroup,2581056602
WELLS FARGO & CO,WFC,69.66%,wellsfargo,1178011
WELLTOWER,WELL,36.75%,Welltower,3655648575
WESTERN DIGITAL CORP,WDC,57.13%,westerndigital,8.27296E+17
WEST PHARMACEUTICAL SERVICES,WST,46.60%,WestPharma,71593811
WESTROCK CO,WRK,25.51%,WestRock,189176466
WEYERHAEUSER CO,WY,49.89%,Weyerhaeuser,374162887
WHIRLPOOL CORP,WHR,56.24%,WhirlpoolCorp,17288348
WILLIAMS COMPANIES,WMB,32.26%,WilliamsUpdates,19366287
W R BERKLEY CORP,WRB,2.92%,WRBerkleyCorp,347308370
WILLIS TOWERS WATSON PLC,WTW,5.26%,WTWhr,18253092
WYNN RESORTS LTD,WYNN,37.22%,WynnLasVegas,31240434
XCEL ENERGY,XEL,32.83%,XcelEnergyMN,31226292
COMCAST CORP,CMCSA,50.70%,XFINITY,14996251
XYLEM,XYL,58.84%,XylemWatermark,24750535
YUM! BRANDS,YUM,58.64%,Yumbrands,8845592
ZEBRA TECHNOLOGIES CORP,ZBRA,3.04%,ZebraTechnology,50418887
ZIMMER BIOMET HOLDINGS,ZBH,11.40%,ZimmerBiomet,258447339
ZIONS BANCORPORATION NA,ZION,2.02%,ZionsBank,17851604
ZOETIS,ZTS,47.77%,ZoetisUS,317318260
